_numIter = 100000
iterationID	sequenceID	eventID	loss	reinstatementPrem	riskGroup	fullRip
263	9000001	9000002	2271044.409	1969.748	Noncat	0
265	9000001	9000002	1391561.628	0	Noncat	0
266	9000001	9000002	1125000.045	0	Noncat	0
267	9000001	9000002	1125000.045	0	Noncat	0
269	9000001	9000002	1125000.045	0	Noncat	0
271	9000001	9000002	79831.251	0	Noncat	0
272	9000001	9000002	1125000.045	0	Noncat	0
273	9000001	9000002	1503900.781	0	Noncat	0
274	9000001	9000002	69341.703	0	Noncat	0
275	9000001	9000002	773662.369	0	Noncat	0
276	276004	5001001	49318.344	0	CatNonGOM	0
276	9000001	9000002	3607489.791	131677.225	Noncat	0
277	9000001	9000002	1125000.045	0	Noncat	0
278	9000001	9000002	1125000.045	0	Noncat	0
281	9000001	9000002	23297.163	0	Noncat	0
283	9000001	9000002	1158911.244	0	Noncat	0
284	9000001	9000002	1153653.526	0	Noncat	0
285	9000001	9000002	1125000.045	0	Noncat	0
287	9000001	9000002	1125000.045	0	Noncat	0
288	9000001	9000002	218016.242	0	Noncat	0
289	9000001	9000002	20058.429	0	Noncat	0
291	9000001	9000002	1125000.045	0	Noncat	0
293	9000001	9000002	1125000.045	0	Noncat	0
294	9000001	9000002	1125000.045	0	Noncat	0
297	9000001	9000002	300422.088	0	Noncat	0
299	9000001	9000002	2106436.54	0	Noncat	0
301	9000001	9000002	2250000.09	0	Noncat	0
302	9000001	9000002	222240.821	0	Noncat	0
304	9000001	9000002	1125000.045	0	Noncat	0
305	9000001	9000002	1674035.645	0	Noncat	0
308	9000001	9000002	858987.21	0	Noncat	0
311	9000001	9000002	2683964.824	40619.097	Noncat	0
312	9000001	9000002	453439.131	0	Noncat	0
313	9000001	9000002	53703.104	0	Noncat	0
314	9000001	9000002	1125000.045	0	Noncat	0
315	9000001	9000002	63861.021	0	Noncat	0
317	9000001	9000002	2250000.09	0	Noncat	0
320	9000001	9000002	1218955.674	0	Noncat	0
324	9000001	9000002	1251427.123	0	Noncat	0
326	9000001	9000002	733474.861	0	Noncat	0
327	9000001	9000002	677641.393	0	Noncat	0
329	9000001	9000002	1249422.646	0	Noncat	0
330	9000001	9000002	1125000.045	0	Noncat	0
331	9000001	9000002	1145772.428	0	Noncat	0
332	9000001	9000002	381425.16	0	Noncat	0
334	9000001	9000002	1125000.045	0	Noncat	0
335	9000001	9000002	1213085.309	0	Noncat	0
336	9000001	9000002	65864.34	0	Noncat	0
337	9000001	9000002	52863.144	0	Noncat	0
339	9000001	9000002	1125000.045	0	Noncat	0
341	9000001	9000002	1125000.045	0	Noncat	0
342	9000001	9000002	310030.283	0	Noncat	0
343	9000001	9000002	1883729.613	0	Noncat	0
345	9000001	9000002	1208237.054	0	Noncat	0
347	9000001	9000002	2723422.832	44312.366	Noncat	0
348	9000001	9000002	1125000.045	0	Noncat	0
349	9000001	9000002	1451640.596	0	Noncat	0
350	9000001	9000002	920069.47	0	Noncat	0
352	9000001	9000002	130742.901	0	Noncat	0
354	9000001	9000002	5976.579	0	Noncat	0
356	9000001	9000002	2250000.09	0	Noncat	0
357	9000001	9000002	916163.506	0	Noncat	0
358	9000001	9000002	2882353.945	59188.317	Noncat	0
360	9000001	9000002	131844.391	0	Noncat	0
361	9000001	9000002	276046.83	0	Noncat	0
362	9000001	9000002	1320505.708	0	Noncat	0
363	9000001	9000002	1162595.402	0	Noncat	0
364	9000001	9000002	75439.614	0	Noncat	0
365	9000001	9000002	3197738.431	88708.303	Noncat	0
366	9000001	9000002	11038.284	0	Noncat	0
368	9000001	9000002	2116858.792	0	Noncat	0
369	9000001	9000002	662610.711	0	Noncat	0
370	9000001	9000002	2250000.09	0	Noncat	0
374	9000001	9000002	183987.579	0	Noncat	0
377	9000001	9000002	98263.819	0	Noncat	0
378	9000001	9000002	1125000.045	0	Noncat	0
379	9000001	9000002	2250000.09	0	Noncat	0
380	9000001	9000002	1125000.045	0	Noncat	0
382	309002	5001001	1125000.045	0	CatNonGOM	0
382	9000001	9000002	137078.624	0	Noncat	0
389	9000001	9000002	1125000.045	0	Noncat	0
390	9000001	9000002	2722286.447	44206	Noncat	0
392	9000001	9000002	323014.636	0	Noncat	0
393	9000001	9000002	426228.876	0	Noncat	0
394	9000001	9000002	2250000.09	0	Noncat	0
396	9000001	9000002	266839.231	0	Noncat	0
397	9000001	9000002	732630.965	0	Noncat	0
398	9000001	9000002	122790.156	0	Noncat	0
400	9000001	9000002	1473185.03	0	Noncat	0
401	9000001	9000002	2250000.09	0	Noncat	0
402	9000001	9000002	1125000.045	0	Noncat	0
403	9000001	9000002	101148.433	0	Noncat	0
404	9000001	9000002	2489535.938	22420.554	Noncat	0
406	9000001	9000002	1125000.045	0	Noncat	0
407	9000001	9000002	2250000.09	0	Noncat	0
408	9000001	9000002	1125000.045	0	Noncat	0
409	36001	5001001	385102.985	0	CatNonGOM	0
409	9000001	9000002	1125000.045	0	Noncat	0
410	9000001	9000002	1125000.045	0	Noncat	0
411	9000001	9000002	1530605.782	0	Noncat	0
412	9000001	9000002	153998.051	0	Noncat	0
413	360002	5001001	1125000.045	0	CatNonGOM	0
413	9000001	9000002	2596638.869	137745.386	Noncat	0
415	9000001	9000002	1125000.045	0	Noncat	0
418	9000001	9000002	1846359.493	0	Noncat	0
