iterationID	ALLZONE	AsiaWS	CAEQ	CatNonGOM	ChinaEQ	EuropeEQ	GMWS	JapanEQ	Noncat	PNWEQ	TaiwanEQ	USEQ
53747	0	0	0	0	0	0	0	0	0	0	0	0
53748	0	0	0	0	0	0	0	0	0	0	0	0
53749	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53750	0	0	0	0	0	0	0	0	0	0	0	0
53751	0	0	0	0	0	0	0	0	0	0	0	0
53752	31452.8	0	0	0	0	0	0	0	31452.8	0	0	0
53753	0	0	0	0	0	0	0	0	0	0	0	0
53754	827873	0	0	0	0	0	0	0	827873	0	0	0
53755	1.33645e+006	0	0	0	0	0	0	0	1.33645e+006	0	0	0
53756	3.2697e+006	0	0	0	0	0	0	0	3.2697e+006	0	0	0
53757	2.6094e+006	0	0	0	0	0	0	0	2.6094e+006	0	0	0
53758	0	0	0	0	0	0	0	0	0	0	0	0
53759	188799	0	0	0	0	0	0	0	188799	0	0	0
53760	47798.6	0	0	0	0	0	0	0	47798.6	0	0	0
53761	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53762	0	0	0	0	0	0	0	0	0	0	0	0
53763	158320	0	0	0	0	0	0	0	158320	0	0	0
53764	8446.17	0	0	0	0	0	0	0	8446.17	0	0	0
53765	856264	0	0	0	0	0	0	0	856264	0	0	0
53766	42302.6	0	0	42302.6	0	0	0	0	0	0	0	0
53767	1.14557e+006	0	0	0	0	0	0	0	1.14557e+006	0	0	0
53768	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53769	464183	0	0	0	0	0	0	0	464183	0	0	0
53770	11260	0	0	0	0	0	0	0	11260	0	0	0
53771	34567	0	0	0	0	0	0	0	34567	0	0	0
53772	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53773	0	0	0	0	0	0	0	0	0	0	0	0
53774	1.54332e+006	0	0	0	0	0	0	0	1.54332e+006	0	0	0
53775	0	0	0	0	0	0	0	0	0	0	0	0
53776	186642	0	0	0	0	0	0	0	186642	0	0	0
53777	0	0	0	0	0	0	0	0	0	0	0	0
53778	0	0	0	0	0	0	0	0	0	0	0	0
53779	299545	0	0	0	0	0	0	0	299545	0	0	0
53780	167931	0	0	0	0	0	0	0	167931	0	0	0
53781	308730	0	0	0	0	0	0	0	308730	0	0	0
53782	471357	0	0	0	0	0	0	0	471357	0	0	0
53783	607432	0	0	607432	0	0	0	0	0	0	0	0
53784	2.10129e+006	0	0	0	0	0	0	0	2.10129e+006	0	0	0
53785	967610	0	0	0	0	0	0	0	967610	0	0	0
53786	0	0	0	0	0	0	0	0	0	0	0	0
53787	0	0	0	0	0	0	0	0	0	0	0	0
53788	1.65259e+006	0	0	314425	0	0	0	0	1.33817e+006	0	0	0
53789	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53790	534222	0	0	189465	0	0	0	0	344757	0	0	0
53791	91632.1	0	0	91632.1	0	0	0	0	0	0	0	0
53792	947109	0	0	0	0	0	0	0	947109	0	0	0
53793	0	0	0	0	0	0	0	0	0	0	0	0
53794	0	0	0	0	0	0	0	0	0	0	0	0
53795	62982.3	0	0	0	0	0	0	0	62982.3	0	0	0
53796	193660	0	0	0	0	0	0	0	193660	0	0	0
53797	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53798	0	0	0	0	0	0	0	0	0	0	0	0
